Nro_Expediente,Fuero,Juzgado_Radicacion,Tipo_Proceso,Fecha_Inicio,Estado_Causa,Dias_Activo
84827/24,Laboral,3° Juzgado Laboral,Homicidio,2025-05-26,Para Sentencia,476
62224/25,Penal (Colegio de Jueces),Sala I,Despido,2025-06-19,Resuelto,361
45872/23,Familia,1° Juzgado de Familia,Hurto,2026-06-28,Para Sentencia,78
14000/24,Laboral,1° Juzgado Laboral,Divorcio,2026-06-10,Archivado,219
84541/26,"Civil, Comercial y Minería",3° Juzgado Civil,Divorcio,2025-08-15,Archivado,199
80583/23,Penal (Colegio de Jueces),Sala I,Hurto,2025-03-06,En Trámite,557
32776/26,Laboral,2° Juzgado Laboral,Divorcio,2026-06-29,Suspendido,77
44506/25,Familia,1° Juzgado de Familia,Hurto,2025-07-26,Resuelto,39
32100/23,"Civil, Comercial y Minería",3° Juzgado Civil,Amparo,2026-05-01,Archivado,64
55970/24,"Civil, Comercial y Minería",3° Juzgado Civil,Despido,2025-10-12,Archivado,158
24516/25,Laboral,1° Juzgado Laboral,Homicidio,2024-02-17,En Trámite,940
38542/23,"Civil, Comercial y Minería",3° Juzgado Civil,Amparo,2025-08-02,Suspendido,408
81340/25,Laboral,2° Juzgado Laboral,Hurto,2025-08-18,Archivado,248
82695/25,Laboral,3° Juzgado Laboral,Homicidio,2025-09-20,Resuelto,331
4530/24,Laboral,1° Juzgado Laboral,Amparo,2025-08-07,Resuelto,127
61264/25,Familia,1° Juzgado de Familia,Despido,2026-07-14,Archivado,67
97191/23,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2026-01-02,Archivado,253
81855/23,Penal (Colegio de Jueces),Sala I,Amparo,2023-12-18,Suspendido,1001
35318/24,"Civil, Comercial y Minería",3° Juzgado Civil,Divorcio,2025-11-10,Archivado,111
76785/26,Familia,2° Juzgado de Familia,Daños y Perjuicios,2024-02-01,Suspendido,955
80818/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2026-03-23,Resuelto,293
91958/23,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2026-02-23,Para Sentencia,203
74483/25,Laboral,1° Juzgado Laboral,Divorcio,2023-12-05,En Trámite,1013
54116/23,Laboral,3° Juzgado Laboral,Divorcio,2023-10-31,Suspendido,1049
58395/24,Familia,2° Juzgado de Familia,Amparo,2025-07-04,Suspendido,437
50849/24,Penal (Colegio de Jueces),Sala II,Despido,2024-05-02,Para Sentencia,865
4386/23,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2024-07-22,Para Sentencia,784
30291/23,Laboral,2° Juzgado Laboral,Homicidio,2025-08-04,Resuelto,233
77619/23,Laboral,1° Juzgado Laboral,Sucesorio,2024-01-18,Resuelto,65
19358/23,Laboral,3° Juzgado Laboral,Despido,2024-05-25,En Trámite,842
94935/25,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2026-07-26,Para Sentencia,50
43822/25,Laboral,2° Juzgado Laboral,Divorcio,2023-12-24,Para Sentencia,995
8005/26,Penal (Colegio de Jueces),Sala II,Hurto,2024-06-21,Resuelto,298
36101/23,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2026-08-06,Para Sentencia,39
68647/24,Laboral,2° Juzgado Laboral,Hurto,2026-05-07,Resuelto,357
26211/24,Laboral,1° Juzgado Laboral,Despido,2023-10-01,Suspendido,1079
64386/26,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2023-10-04,Archivado,250
26556/23,Penal (Colegio de Jueces),Sala III,Homicidio,2023-12-21,Suspendido,998
19740/24,"Civil, Comercial y Minería",4° Juzgado Civil,Despido,2024-11-21,Suspendido,662
2425/25,Penal (Colegio de Jueces),Sala I,Despido,2025-07-07,En Trámite,434
25994/24,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2025-07-01,Resuelto,400
93105/26,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2024-10-11,Resuelto,306
80840/24,Penal (Colegio de Jueces),Sala II,Divorcio,2026-06-23,Resuelto,366
98303/23,Laboral,3° Juzgado Laboral,Despido,2025-05-25,Archivado,374
5137/26,"Civil, Comercial y Minería",2° Juzgado Civil,Despido,2025-02-09,Para Sentencia,581
92712/23,Familia,1° Juzgado de Familia,Divorcio,2026-08-30,Para Sentencia,15
93310/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2026-05-07,En Trámite,130
93474/23,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2025-08-27,Suspendido,383
96607/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Divorcio,2024-05-28,Suspendido,839
64386/24,"Civil, Comercial y Minería",2° Juzgado Civil,Amparo,2026-07-19,En Trámite,56
31466/26,Familia,1° Juzgado de Familia,Daños y Perjuicios,2026-05-26,En Trámite,111
37656/24,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2024-08-07,En Trámite,768
87024/25,Laboral,2° Juzgado Laboral,Hurto,2025-08-18,Para Sentencia,392
67117/26,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2025-08-06,En Trámite,404
17612/25,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2024-07-11,Resuelto,224
76719/23,Laboral,2° Juzgado Laboral,Amparo,2024-10-19,Suspendido,695
98080/23,Familia,1° Juzgado de Familia,Homicidio,2025-01-06,Resuelto,394
58787/23,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2025-06-10,En Trámite,461
67097/23,Familia,2° Juzgado de Familia,Hurto,2024-07-23,Para Sentencia,783
90041/23,Penal (Colegio de Jueces),Sala I,Divorcio,2024-01-21,Suspendido,967
29241/24,Familia,1° Juzgado de Familia,Despido,2023-11-11,En Trámite,1038
96658/23,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-08-31,Resuelto,210
59738/25,Laboral,1° Juzgado Laboral,Amparo,2023-12-18,En Trámite,1001
41957/23,Penal (Colegio de Jueces),Sala I,Homicidio,2025-11-05,Suspendido,313
15676/26,"Civil, Comercial y Minería",2° Juzgado Civil,Divorcio,2025-04-26,En Trámite,506
58033/26,"Civil, Comercial y Minería",1° Juzgado Civil,Homicidio,2025-08-11,Suspendido,399
12723/23,"Civil, Comercial y Minería",1° Juzgado Civil,Divorcio,2025-12-01,En Trámite,287
54307/24,Laboral,2° Juzgado Laboral,Daños y Perjuicios,2023-12-05,En Trámite,1014
92612/24,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2026-01-07,Archivado,298
34618/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2025-04-21,Archivado,49
52192/23,Familia,2° Juzgado de Familia,Sucesorio,2026-09-10,Resuelto,72
18255/26,"Civil, Comercial y Minería",2° Juzgado Civil,Divorcio,2024-07-29,Archivado,303
50419/26,Familia,2° Juzgado de Familia,Amparo,2026-09-07,Suspendido,6
43771/25,Familia,2° Juzgado de Familia,Sucesorio,2024-01-04,Archivado,389
59260/23,Penal (Colegio de Jueces),Sala II,Amparo,2026-01-29,Resuelto,297
35673/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Daños y Perjuicios,2023-10-20,Suspendido,1060
82100/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2024-06-12,Archivado,127
83710/23,Penal (Colegio de Jueces),Sala II,Homicidio,2025-12-23,En Trámite,264
87565/26,"Civil, Comercial y Minería",1° Juzgado Civil,Homicidio,2026-02-08,Suspendido,218
68200/23,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2024-04-03,Para Sentencia,894
8513/25,"Civil, Comercial y Minería",2° Juzgado Civil,Homicidio,2026-06-25,Resuelto,78
93917/24,"Civil, Comercial y Minería",2° Juzgado Civil,Homicidio,2024-11-16,Resuelto,83
8404/24,"Civil, Comercial y Minería",1° Juzgado Civil,Divorcio,2025-02-11,Para Sentencia,580
32829/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2024-04-28,Para Sentencia,869
13951/26,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2026-09-01,Resuelto,269
46413/25,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2026-03-10,Archivado,351
55779/26,Laboral,1° Juzgado Laboral,Divorcio,2026-07-05,Suspendido,70
80404/23,Laboral,2° Juzgado Laboral,Sucesorio,2023-12-16,Para Sentencia,1003
31982/23,Familia,2° Juzgado de Familia,Homicidio,2026-05-26,Resuelto,57
21697/23,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2026-07-26,Para Sentencia,50
48586/25,"Civil, Comercial y Minería",2° Juzgado Civil,Despido,2025-09-03,En Trámite,376
64172/24,"Civil, Comercial y Minería",4° Juzgado Civil,Homicidio,2024-04-02,Resuelto,139
13037/23,"Civil, Comercial y Minería",3° Juzgado Civil,Hurto,2023-11-09,Para Sentencia,1040
58430/24,Familia,2° Juzgado de Familia,Daños y Perjuicios,2026-08-06,Resuelto,366
68438/23,Familia,1° Juzgado de Familia,Divorcio,2024-12-21,Para Sentencia,632
36854/25,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2024-07-14,En Trámite,792
57120/26,"Civil, Comercial y Minería",2° Juzgado Civil,Divorcio,2025-05-02,En Trámite,500
81012/26,Laboral,1° Juzgado Laboral,Amparo,2026-02-14,Para Sentencia,212
99301/23,"Civil, Comercial y Minería",4° Juzgado Civil,Divorcio,2025-03-03,Resuelto,65
73809/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2025-04-17,En Trámite,514
57218/23,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2026-08-24,Para Sentencia,20
40072/26,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2026-05-31,Para Sentencia,106
35184/23,"Civil, Comercial y Minería",3° Juzgado Civil,Despido,2023-11-24,Resuelto,79
5715/26,Penal (Colegio de Jueces),Sala II,Sucesorio,2024-08-04,Suspendido,771
72897/24,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2024-12-07,Para Sentencia,646
46706/26,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2026-05-25,Resuelto,377
28756/23,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2024-10-11,Resuelto,110
36336/26,"Civil, Comercial y Minería",2° Juzgado Civil,Despido,2024-06-06,Para Sentencia,830
61333/26,Familia,1° Juzgado de Familia,Amparo,2026-07-19,Suspendido,57
51113/26,"Civil, Comercial y Minería",4° Juzgado Civil,Despido,2025-03-10,Resuelto,298
40158/25,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2026-05-19,Archivado,48
61015/25,Familia,1° Juzgado de Familia,Hurto,2024-03-03,Suspendido,925
15652/26,Familia,1° Juzgado de Familia,Amparo,2025-03-18,Para Sentencia,545
43526/25,Laboral,1° Juzgado Laboral,Hurto,2024-05-16,Para Sentencia,851
4161/25,Familia,2° Juzgado de Familia,Daños y Perjuicios,2025-09-14,Archivado,339
53210/24,Laboral,2° Juzgado Laboral,Sucesorio,2023-09-20,Para Sentencia,1090
89405/25,Penal (Colegio de Jueces),Sala I,Despido,2025-02-10,En Trámite,581
90173/26,Laboral,1° Juzgado Laboral,Amparo,2024-07-10,Resuelto,391
22295/24,Penal (Colegio de Jueces),Sala II,Divorcio,2024-02-09,Suspendido,947
80576/26,Penal (Colegio de Jueces),Sala I,Homicidio,2024-07-01,Resuelto,355
50178/26,Laboral,2° Juzgado Laboral,Despido,2025-07-21,Suspendido,420
21605/25,Laboral,3° Juzgado Laboral,Despido,2025-09-26,Resuelto,327
37732/25,Laboral,2° Juzgado Laboral,Amparo,2024-11-23,Para Sentencia,659
73389/23,Familia,2° Juzgado de Familia,Homicidio,2023-09-27,Resuelto,230
9742/25,Penal (Colegio de Jueces),Sala I,Sucesorio,2026-02-25,Resuelto,139
80706/26,Laboral,2° Juzgado Laboral,Sucesorio,2026-07-31,En Trámite,45
97143/25,Familia,2° Juzgado de Familia,Daños y Perjuicios,2024-05-23,Resuelto,287
4372/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2024-07-15,Para Sentencia,791
74528/26,Familia,2° Juzgado de Familia,Amparo,2024-07-05,En Trámite,801
31013/25,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2025-06-04,En Trámite,467
31450/26,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2025-03-11,Para Sentencia,551
11578/25,Laboral,2° Juzgado Laboral,Hurto,2025-05-22,Para Sentencia,480
25015/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2024-10-30,En Trámite,684
75241/26,Penal (Colegio de Jueces),Sala II,Sucesorio,2024-01-10,En Trámite,978
96852/25,Laboral,1° Juzgado Laboral,Hurto,2026-06-20,Resuelto,310
57035/23,Familia,2° Juzgado de Familia,Sucesorio,2025-12-09,En Trámite,279
39511/25,"Civil, Comercial y Minería",4° Juzgado Civil,Divorcio,2026-01-29,En Trámite,228
36737/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Divorcio,2024-09-07,Suspendido,737
62036/25,"Civil, Comercial y Minería",2° Juzgado Civil,Divorcio,2024-11-29,Suspendido,654
9010/24,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2026-08-15,Archivado,313
12025/24,Familia,1° Juzgado de Familia,Homicidio,2025-09-13,En Trámite,366
25765/26,"Civil, Comercial y Minería",3° Juzgado Civil,Homicidio,2026-03-19,Resuelto,292
16602/23,Familia,1° Juzgado de Familia,Daños y Perjuicios,2023-09-27,Para Sentencia,1083
89441/26,Familia,2° Juzgado de Familia,Daños y Perjuicios,2024-04-25,En Trámite,872
26833/25,Familia,1° Juzgado de Familia,Hurto,2023-11-13,Resuelto,249
57845/23,Familia,2° Juzgado de Familia,Divorcio,2026-09-07,Para Sentencia,7
50308/25,Laboral,1° Juzgado Laboral,Homicidio,2024-11-26,Archivado,287
30521/23,Familia,2° Juzgado de Familia,Homicidio,2024-01-07,En Trámite,981
73104/23,Laboral,3° Juzgado Laboral,Hurto,2023-09-22,Para Sentencia,1087
47755/23,Familia,1° Juzgado de Familia,Amparo,2024-07-29,En Trámite,777
99217/24,"Civil, Comercial y Minería",1° Juzgado Civil,Despido,2026-08-19,Archivado,366
65432/26,Familia,1° Juzgado de Familia,Hurto,2026-06-14,Para Sentencia,91
36786/24,Familia,2° Juzgado de Familia,Despido,2024-10-18,Para Sentencia,695
54720/24,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2024-03-17,Resuelto,345
92906/23,Laboral,2° Juzgado Laboral,Homicidio,2025-09-01,Suspendido,378
8066/24,Familia,1° Juzgado de Familia,Divorcio,2024-07-21,Resuelto,391
43474/24,Familia,1° Juzgado de Familia,Amparo,2024-11-17,En Trámite,666
75468/23,Penal (Colegio de Jueces),Sala II,Daños y Perjuicios,2024-06-09,Resuelto,226
59082/23,Penal (Colegio de Jueces),Sala III,Hurto,2023-11-27,Suspendido,1021
6443/25,Familia,2° Juzgado de Familia,Despido,2026-07-14,Suspendido,62
95602/23,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2024-02-15,En Trámite,942
16535/26,Laboral,3° Juzgado Laboral,Despido,2026-03-14,Resuelto,51
73497/26,Penal (Colegio de Jueces),Sala III,Amparo,2023-10-02,En Trámite,1078
54882/26,Laboral,3° Juzgado Laboral,Hurto,2025-10-03,En Trámite,346
75454/24,Laboral,2° Juzgado Laboral,Homicidio,2024-10-01,Para Sentencia,713
6498/26,Familia,2° Juzgado de Familia,Daños y Perjuicios,2026-03-28,Para Sentencia,170
62402/23,Familia,1° Juzgado de Familia,Homicidio,2026-04-13,En Trámite,153
82110/26,"Civil, Comercial y Minería",3° Juzgado Civil,Sucesorio,2025-09-14,Suspendido,364
31372/24,Laboral,3° Juzgado Laboral,Sucesorio,2026-05-10,Archivado,359
60824/26,Familia,2° Juzgado de Familia,Amparo,2026-05-06,Suspendido,131
47826/25,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2026-06-16,En Trámite,89
48524/25,"Civil, Comercial y Minería",1° Juzgado Civil,Homicidio,2026-04-10,Suspendido,157
98328/25,Familia,1° Juzgado de Familia,Amparo,2025-10-04,Archivado,197
21691/26,Familia,1° Juzgado de Familia,Hurto,2025-01-31,Suspendido,591
29808/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2026-09-06,Resuelto,106
25328/23,Laboral,2° Juzgado Laboral,Divorcio,2024-07-20,Archivado,97
23773/26,Penal (Colegio de Jueces),Sala III,Despido,2025-07-24,Suspendido,417
11014/23,Laboral,3° Juzgado Laboral,Amparo,2026-05-01,Archivado,344
23801/25,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2025-05-15,Para Sentencia,487
35909/23,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2024-03-13,Para Sentencia,915
39034/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Daños y Perjuicios,2026-05-13,Archivado,247
44074/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2024-03-08,Archivado,247
16302/26,Penal (Colegio de Jueces),Sala II,Divorcio,2025-07-03,Archivado,215
64981/26,Laboral,1° Juzgado Laboral,Divorcio,2025-09-03,En Trámite,376
94433/24,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2023-12-11,En Trámite,1008
86981/25,Penal (Colegio de Jueces),Sala II,Divorcio,2023-11-16,Resuelto,51
58459/23,Familia,1° Juzgado de Familia,Divorcio,2024-02-03,En Trámite,954
72143/23,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2023-11-09,En Trámite,1039
48985/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2026-06-01,Para Sentencia,105
7888/25,Familia,2° Juzgado de Familia,Divorcio,2024-08-20,Para Sentencia,755
50694/23,"Civil, Comercial y Minería",3° Juzgado Civil,Sucesorio,2024-01-26,Resuelto,126
62138/25,Familia,2° Juzgado de Familia,Homicidio,2024-07-17,Resuelto,269
52031/24,Familia,2° Juzgado de Familia,Homicidio,2024-12-12,Resuelto,282
10565/23,Familia,1° Juzgado de Familia,Homicidio,2024-05-09,Suspendido,858
87303/23,"Civil, Comercial y Minería",1° Juzgado Civil,Despido,2025-08-01,En Trámite,409
59301/24,"Civil, Comercial y Minería",3° Juzgado Civil,Hurto,2024-02-05,Para Sentencia,952
46772/25,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2026-08-19,En Trámite,25
77870/24,Familia,1° Juzgado de Familia,Hurto,2023-12-08,Para Sentencia,1011
69545/24,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2026-08-10,Suspendido,35
54918/24,Familia,2° Juzgado de Familia,Amparo,2025-01-20,Resuelto,385
29336/23,Laboral,2° Juzgado Laboral,Divorcio,2024-04-05,En Trámite,892
37048/26,Penal (Colegio de Jueces),Sala I,Despido,2025-12-16,Para Sentencia,272
19236/24,Familia,1° Juzgado de Familia,Divorcio,2024-03-17,En Trámite,911
65516/25,"Civil, Comercial y Minería",2° Juzgado Civil,Hurto,2025-03-13,Para Sentencia,550
52329/23,"Civil, Comercial y Minería",1° Juzgado Civil,Hurto,2026-06-25,Suspendido,81
60381/25,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-07-08,Para Sentencia,433
98785/24,Penal (Colegio de Jueces),Sala III,Despido,2026-07-12,Archivado,119
23125/24,Familia,2° Juzgado de Familia,Daños y Perjuicios,2026-01-14,Resuelto,284
77841/23,Laboral,2° Juzgado Laboral,Homicidio,2024-09-13,Resuelto,165
63134/25,Laboral,1° Juzgado Laboral,Divorcio,2025-08-28,Archivado,105
35190/24,"Civil, Comercial y Minería",4° Juzgado Civil,Homicidio,2026-02-15,Suspendido,211
20366/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Divorcio,2025-07-22,Archivado,208
60082/26,Familia,1° Juzgado de Familia,Sucesorio,2024-02-19,Para Sentencia,938
47841/25,Familia,2° Juzgado de Familia,Homicidio,2024-05-13,Suspendido,854
51893/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2025-06-20,Suspendido,451
87193/26,Laboral,2° Juzgado Laboral,Amparo,2025-12-07,Suspendido,281
30477/23,Familia,1° Juzgado de Familia,Sucesorio,2025-09-04,Archivado,398
39473/23,Familia,2° Juzgado de Familia,Divorcio,2025-10-04,Para Sentencia,345
25579/23,Penal (Colegio de Jueces),Sala II,Despido,2025-07-28,En Trámite,413
38406/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2026-07-13,En Trámite,63
27989/26,Penal (Colegio de Jueces),Sala II,Daños y Perjuicios,2025-02-13,Archivado,255
1042/23,Familia,1° Juzgado de Familia,Amparo,2025-02-09,Archivado,123
31834/25,"Civil, Comercial y Minería",1° Juzgado Civil,Homicidio,2025-08-11,Suspendido,399
54682/26,Laboral,1° Juzgado Laboral,Hurto,2024-07-06,Para Sentencia,800
54417/26,Penal (Colegio de Jueces),Sala I,Sucesorio,2024-09-27,Archivado,126
86477/25,Familia,2° Juzgado de Familia,Amparo,2026-09-09,Suspendido,5
43954/24,Laboral,2° Juzgado Laboral,Divorcio,2023-11-04,Suspendido,1045
76545/23,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2024-05-31,Suspendido,836
7083/23,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2024-03-02,Archivado,163
96452/23,Familia,2° Juzgado de Familia,Hurto,2025-10-08,Archivado,326
53983/26,Familia,2° Juzgado de Familia,Daños y Perjuicios,2024-12-06,Archivado,248
18377/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2026-05-24,Resuelto,354
7989/24,Laboral,2° Juzgado Laboral,Divorcio,2025-08-03,Para Sentencia,407
77389/26,Penal (Colegio de Jueces),Sala II,Sucesorio,2023-09-27,Suspendido,1083
38907/23,Penal (Colegio de Jueces),Sala I,Hurto,2025-10-21,En Trámite,328
18407/25,Familia,2° Juzgado de Familia,Divorcio,2025-04-12,En Trámite,520
34368/25,"Civil, Comercial y Minería",2° Juzgado Civil,Hurto,2025-07-22,Archivado,142
51470/26,Familia,2° Juzgado de Familia,Hurto,2026-04-16,Resuelto,139
61251/25,Familia,1° Juzgado de Familia,Amparo,2025-09-04,Para Sentencia,375
58700/25,Penal (Colegio de Jueces),Sala I,Homicidio,2026-06-17,Suspendido,89
24275/26,Penal (Colegio de Jueces),Sala II,Sucesorio,2024-01-22,Suspendido,965
89903/26,Penal (Colegio de Jueces),Sala II,Hurto,2023-11-18,Resuelto,106
9606/23,Penal (Colegio de Jueces),Sala II,Despido,2025-10-07,Archivado,159
76934/26,"Civil, Comercial y Minería",2° Juzgado Civil,Sucesorio,2025-12-12,Resuelto,64
63851/23,Familia,2° Juzgado de Familia,Sucesorio,2024-09-30,En Trámite,714
12511/25,Laboral,3° Juzgado Laboral,Amparo,2026-07-04,En Trámite,72
11047/24,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2026-08-13,Suspendido,32
25865/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2025-11-13,Archivado,109
35541/25,Penal (Colegio de Jueces),Sala I,Homicidio,2025-02-16,Resuelto,56
82825/25,Laboral,3° Juzgado Laboral,Despido,2024-03-17,Resuelto,261
36459/26,Familia,2° Juzgado de Familia,Divorcio,2024-12-23,Archivado,150
18672/24,"Civil, Comercial y Minería",2° Juzgado Civil,Hurto,2026-02-18,Suspendido,208
96902/26,Familia,2° Juzgado de Familia,Despido,2023-12-04,Archivado,223
63528/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2025-10-24,Resuelto,187
34109/24,Laboral,1° Juzgado Laboral,Despido,2026-05-30,En Trámite,107
27146/24,Penal (Colegio de Jueces),Sala I,Despido,2025-10-25,Archivado,190
50507/23,Laboral,3° Juzgado Laboral,Despido,2025-05-06,Suspendido,496
86077/26,"Civil, Comercial y Minería",3° Juzgado Civil,Despido,2024-02-29,Para Sentencia,928
85188/26,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-05-18,Suspendido,484
40542/25,Familia,1° Juzgado de Familia,Hurto,2023-10-19,Archivado,318
3254/26,"Civil, Comercial y Minería",4° Juzgado Civil,Homicidio,2026-03-23,Resuelto,89
9089/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Sucesorio,2025-07-20,En Trámite,421
39976/26,Penal (Colegio de Jueces),Sala I,Sucesorio,2026-01-24,Suspendido,233
87685/26,Penal (Colegio de Jueces),Sala I,Despido,2024-12-19,Resuelto,248
78256/23,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2026-06-25,En Trámite,81
58470/23,Familia,2° Juzgado de Familia,Daños y Perjuicios,2026-03-09,Archivado,168
1118/23,Laboral,3° Juzgado Laboral,Divorcio,2023-12-01,Resuelto,390
36616/25,Familia,1° Juzgado de Familia,Sucesorio,2026-01-22,Resuelto,57
63664/26,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2024-05-21,Resuelto,207
34823/24,"Civil, Comercial y Minería",2° Juzgado Civil,Homicidio,2025-04-18,Resuelto,376
78300/26,Familia,2° Juzgado de Familia,Hurto,2024-09-30,Suspendido,714
30082/23,"Civil, Comercial y Minería",1° Juzgado Civil,Hurto,2024-12-17,Para Sentencia,636
6169/25,Penal (Colegio de Jueces),Sala I,Divorcio,2025-10-12,Para Sentencia,337
16178/23,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2024-06-12,Suspendido,824
91219/26,Penal (Colegio de Jueces),Sala II,Homicidio,2024-08-31,En Trámite,744
83995/25,Penal (Colegio de Jueces),Sala II,Sucesorio,2025-10-22,En Trámite,327
61988/23,Familia,1° Juzgado de Familia,Daños y Perjuicios,2024-12-20,Archivado,110
94395/26,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2025-05-11,En Trámite,491
6374/24,Familia,2° Juzgado de Familia,Sucesorio,2024-08-12,Suspendido,763
92591/23,Penal (Colegio de Jueces),Sala III,Amparo,2023-09-26,Suspendido,1083
74633/23,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-04-15,En Trámite,517
39074/25,Penal (Colegio de Jueces),Sala I,Despido,2025-09-03,Resuelto,223
81571/26,Laboral,3° Juzgado Laboral,Divorcio,2025-02-22,Suspendido,569
15124/26,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2026-06-04,Suspendido,102
4517/23,Laboral,1° Juzgado Laboral,Divorcio,2025-10-15,En Trámite,333
41695/23,Familia,2° Juzgado de Familia,Divorcio,2025-11-09,En Trámite,309
75076/26,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2023-12-26,Para Sentencia,992
37352/23,"Civil, Comercial y Minería",3° Juzgado Civil,Hurto,2026-07-21,En Trámite,55
67587/25,Laboral,2° Juzgado Laboral,Amparo,2025-04-20,Suspendido,512
51049/26,Familia,2° Juzgado de Familia,Divorcio,2025-11-07,Archivado,35
60411/26,"Civil, Comercial y Minería",3° Juzgado Civil,Sucesorio,2025-09-23,Archivado,307
91858/25,Laboral,3° Juzgado Laboral,Sucesorio,2025-11-26,Archivado,290
37865/23,"Civil, Comercial y Minería",4° Juzgado Civil,Despido,2024-03-11,Resuelto,163
10322/25,"Civil, Comercial y Minería",1° Juzgado Civil,Hurto,2024-06-09,Archivado,285
35828/26,Laboral,1° Juzgado Laboral,Despido,2023-12-30,En Trámite,989
58817/25,Familia,2° Juzgado de Familia,Despido,2025-02-03,Suspendido,588
37983/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2023-10-09,Para Sentencia,1071
